ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2602208SJ5G5W8,Hoàn thành,225302331206088,2026-02-20 22:58:52,2026-02-26 06:04:53,2026-02-19 18:22:25,EMLYvn,129291760,C2C(Non-CB),26738057496,"EMLYvn - Áo Sơ Mi Đũi Cổ Tim Phối Ren Có Nơ Dáng Babydoll, Áo Sơ Mi Nữ Kiểu Xinh Style Hàn Quốc",253564925227,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,139000,1,XTRA Comm,,119539,,4.50%,5379.255,5.00%,5976.95,11356.205,10651.005,11834.45,22485.455,,0,0.00%,0,100.00%,22485.455,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208SJ5G5W8,Hoàn thành,225302331206088,2026-02-20 22:58:52,2026-02-26 06:04:53,2026-02-19 18:22:25,EMLYvn,129291760,C2C(Non-CB),26738057496,"EMLYvn - Áo Sơ Mi Đũi Cổ Tim Phối Ren Có Nơ Dáng Babydoll, Áo Sơ Mi Nữ Kiểu Xinh Style Hàn Quốc",275523587331,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,136220,1,XTRA Comm,,117150,,4.50%,5271.75,5.00%,5857.5,11129.25,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208SFDS5HT,Hoàn thành,225302239228374,2026-02-20 22:57:20,2026-02-26 09:57:02,2026-02-20 21:52:02,Vemedim Official Store,71853880,Shopee Mall(Non-CB),5057940594,"Vemedim Vemevit No. 9.100 Premix vitamin- axit amin- khoáng cho cá, gói 1kg",22291328067,Normal Product,0_413671910617228_1,Chăm Sóc Thú Cưng,Thức ăn cho thú cưng,Thức ăn cho cá,74705.28464,1,XTRA Comm,,66665.28464,,0.00%,0,7.50%,4999.89634,4999.89634,0,17337.67498,17337.67498,,0,0.00%,0,100.00%,17337.67498,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602208SFDS5HT,Hoàn thành,225302239228374,2026-02-20 22:57:20,2026-02-26 09:57:02,2026-02-20 21:52:02,Vemedim Official Store,71853880,Shopee Mall(Non-CB),6639362243,"Vemedim Prozyme for fish new, bổ sung vitamin và enzyme tiêu hóa cho cá, hộp 1kg",32117887693,Normal Product,0_413671910617228_1,Chăm Sóc Thú Cưng,Chăm sóc sức khỏe,Vitamin & chất bổ sung dinh dưỡng,72764.88764,1,XTRA Comm,,64937.88764,,0.00%,0,7.50%,4870.34157,4870.34157,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602208SFDS5HT,Hoàn thành,225302239228374,2026-02-20 22:57:20,2026-02-26 09:57:02,2026-02-20 21:52:02,Vemedim Official Store,71853880,Shopee Mall(Non-CB),17220597327,"Vemedim Vitamin C 40% cá, chống stress và tăng cường đề kháng cho cá, gói 1kg",134598801770,Normal Product,0_413671910617228_1,Chăm Sóc Thú Cưng,Thức ăn cho thú cưng,Thức ăn cho cá,111572.82771,1,XTRA Comm,,99565.82771,,0.00%,0,7.50%,7467.43707,7467.43707,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Facebook
2602208SF74UEJ,Hoàn thành,225302232267681,2026-02-20 22:57:12,2026-02-27 12:04:47,2026-02-20 22:55:06,MAIL_XỊN,1416584373,C2C(Non-CB),29620381354,"Máy sưởi FEINITE bóng hồng ngoại có tấm lưới cách nhiệt an toàn, cực bền, tốc độ làm ấm nhanh tỏa nhiệt đều",271800103673,Normal Product,,Thiết Bị Điện Gia Dụng,Thiết bị điện gia dụng lớn,Máy sưởi,135000,1,XTRA Comm,,121500,,4.50%,5467.5,2.50%,3037.5,8505,5467.5,3037.5,8505,,0,0.00%,0,100.00%,8505,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Others
2602208S6V2PY2,Đã hủy,225301952222074,2026-02-20 22:52:32,--,2026-02-20 16:14:01,Bbia Official Store,9277307,Shopee Mall(Non-CB),18420273414,"Mascara dày mi, chống lem BBIA Never Die Mascara 7g",173571630694,Normal Product,,Sắc Đẹp,Trang điểm,Trang điểm mắt,198000,0,XTRA Comm,,0,168000,4.50%,0,3.50%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208S6V2PY2,Đã hủy,225301952222074,2026-02-20 22:52:32,--,2026-02-20 16:14:01,Bbia Official Store,9277307,Shopee Mall(Non-CB),26668827171,"[Mukbang Edition] Son tint lì lâu trôi, bền màu BBIA Air Fit Tint 4g",128131858913,Normal Product,0_419807862796794_1,Sắc Đẹp,Trang điểm,Trang điểm môi,155100,0,XTRA Comm,,0,131835,4.50%,0,2.50%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208S6V2PY2,Đã hủy,225301952222074,2026-02-20 22:52:32,--,2026-02-20 16:14:01,Bbia Official Store,9277307,Shopee Mall(Non-CB),27810253816,"Son kem nhung thuần chay, nhẹ môi BBIA Last Velvet Tint Re-new Version 5g",215367546806,Normal Product,0_419807862796794_1,Sắc Đẹp,Trang điểm,Trang điểm môi,177660,0,XTRA Comm,,0,150711,4.50%,0,2.50%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208S5YFFTP,Hoàn thành,225301922236792,2026-02-20 22:52:02,2026-02-24 19:09:23,2026-02-20 22:49:19,Cherry - Xưởng Sản Xuất Tất Vớ,446036652,Preferred(Non-CB),24994575772,"Tât nữ set 5 đôi cổ nhún thêu họa tiêt cún đáng yêu, tất trắng chất liệu cotton mềm mịn -Cherry shop",119484673645,Normal Product,,Thời Trang Nữ,Vớ/ Tất,Tất,50000,1,XTRA Comm,,44471,,4.50%,2001.195,1.00%,444.71,2445.905,2001.195,444.71,2445.905,,0,0.00%,0,100.00%,2445.905,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,DXYTuiXo0402,,,,Facebook
2602208RUA3UUG,Hoàn thành,225301565298048,2026-02-20 22:46:25,2026-02-28 15:42:32,2026-02-20 22:30:24,Nhà sách Kee - Kee Books,1669447925,Shopee Mall(Non-CB),46852884689,Sách - Tiền đẻ ra tiền,315278130262,Normal Product,,Sách & Tạp Chí,Sách,Sách Kinh Tế - Kinh Doanh,59000,1,XTRA Comm,,59000,,4.50%,2655,7.50%,4425,7080,2655,4425,7080,,0,0.00%,0,100.00%,7080,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602208RNJX8AD,Hoàn thành,225301372218620,2026-02-20 22:42:52,2026-02-28 12:13:21,2026-02-20 22:40:09,phukienchomeo6890,160672596,Preferred(Non-CB),18794712115,"Quần áo chó mèo, Áo thu đông chó mèo được chọn màu chọn size",176178223026,Normal Product,,Chăm Sóc Thú Cưng,Quần áo & phụ kiện,Quần áo thú cưng,29900,1,XTRA Comm,,13996,,0.00%,0,2.00%,279.92,279.92,0,616,616,,0,0.00%,0,100.00%,616,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,SHPAAP0725,DXYTuiXinh2101,,,,Others
